Date,Site,Count,WaterVolume,Rainfall,n/m2/day,flux,,,
2020/7/1,ANBU,5,30,7,45,1,,,
2020/7/1,FGJ,47,250,11,428,2,,,
2020/7/1,JS,43,470,10,391,1,,,
2020/7/1,LC,4,600,8,36,0,,,
2020/7/1,LFG,88,50,4,801,7,,,
2020/7/1,MHH,38,100,4,346,1,,,
2020/7/1,QIGU,55,70,3,500,3,,,
2020/7/1,SH,52,230,7,473,2,,,
2020/7/1,TXY,18,1137,5,164,0,,,
2020/7/1,WL,49,500,3,446,0,,,
2020/7/1,WT,9,1137,30,82,0,,,
2020/7/1,YGC,103,100,4,937,4,,,
2020/7/1,YGX,74,25,1,673,2,,,
2020/7/1,YL,3,23,3,27,0,,,
2020/7/15,ANBU,22,1137,98,200,2,,,
2020/7/15,FGJ,8,200,79,73,3,,,
2020/7/15,JS,18,1137,90,164,1,,,
2020/7/15,LC,8,480,78,73,1,,,
2020/7/15,LFG,85,1137,85,773,6,,,
2020/7/15,MHH,78,1137,80,710,5,,,
2020/7/15,QIGU,19,800,77,173,2,,,
2020/7/15,SH,13,1137,84,118,1,,,
2020/7/15,TXY,15,900,73,136,1,,,
2020/7/15,WL,12,1137,78,109,1,,,
2020/7/15,WT,39,80,71,355,34,,,
2020/7/15,YGC,22,1137,87,200,2,,,
2020/7/15,YGX,11,1137,65,100,1,,,
2020/7/15,YL,23,400,69,209,4,,,
2020/7/29,ANBU,17,1137,33,155,0,,,
2020/7/29,FGJ,7,800,28,64,0,,,
2020/7/29,JS,62,620,28,564,3,,,
2020/7/29,LC,10,850,33,91,0,,,
2020/7/29,LFG,16,1137,27,146,0,,,
2020/7/29,MHH,4,300,29,36,0,,,
2020/7/29,QIGU,1,1137,37,9,0,,,
2020/7/29,SH,24,1137,49,218,1,,,
2020/7/29,TXY,6,350,23,55,0,,,
2020/7/29,WL,3,850,86,27,0,,,
2020/7/29,WT,51,480,18,464,2,,,
2020/7/29,YGC,22,1137,23,200,0,,,
2020/7/29,YGX,14,620,25,127,1,,,
2020/7/29,YL,6,300,8,55,0,,,
2020/8/12,ANBU,71,1137,331,646,21,,,
2020/8/12,FGJ,23,1137,120,209,2,,,
2020/8/12,JS,32,900,54,291,2,,,
2020/8/12,LC,57,1137,137,519,7,,,
2020/8/12,LFG,13,1137,296,118,3,,,
2020/8/12,MHH,17,1137,255,155,4,,,
2020/8/12,QIGU,25,1137,218,227,5,,,
2020/8/12,SH,19,1137,85,173,1,,,
2020/8/12,TXY,13,1137,154,118,2,,,
2020/8/12,WL,7,1137,255,64,2,,,
2020/8/12,WT,35,420,90,318,8,,,
2020/8/12,YGC,48,1137,303,437,13,,,
2020/8/12,YGX,34,1137,229,309,7,,,
2020/8/12,YL,43,400,33,391,4,,,
2020/8/26,ANBU,32,1137,65,291,2,,,
2020/8/26,FGJ,75,1137,82,682,5,,,
2020/8/26,JS,41,1137,58,373,2,,,
2020/8/26,LC,17,250,80,155,5,,,
2020/8/26,LFG,22,1137,48,200,1,,,
2020/8/26,SH,1,1137,65,9,0,,,
2020/8/26,TXY,6,1137,85,55,0,,,
2020/8/26,WL,23,200,54,209,6,,,
2020/8/26,WT,53,1137,68,482,3,,,
2020/8/26,YGC,9,1137,73,82,1,,,
2020/8/26,YGX,31,1137,67,282,2,,,
2020/8/26,YL,17,200,30,155,3,,,
2020/9/10,ANBU,2,75,146,18,4,,,
2020/9/10,FGJ,3,1137,117,27,0,,,
2020/9/10,JS,55,600,110,500,10,,,
2020/9/10,LC,4,50,117,36,9,,,
2020/9/10,LFG,43,1137,142,391,5,,,
2020/9/10,MHH,16,300,156,146,8,,,
2020/9/10,QIGU,3,175,143,27,2,,,
2020/9/10,SH,21,800,139,191,4,,,
2020/9/10,TXY,3,100,126,27,4,,,
2020/9/10,WL,84,850,153,764,15,,,
2020/9/10,WT,17,1137,119,155,2,,,
2020/9/10,YGC,45,1137,155,409,6,,,
2020/9/10,YGX,9,1137,158,82,1,,,
2020/9/24,FGJ,14,1137,416,127,5,,,
2020/9/24,JS,1,480,207,9,0,,,
2020/9/24,LC,35,1137,491,318,15,,,
2020/9/24,MHH,17,1137,503,155,8,,,
2020/9/24,QIGU,5,1137,640,45,3,,,
2020/9/24,SH,38,250,358,346,54,,,
2020/9/24,TXY,33,1137,350,300,10,,,
2020/9/24,WL,29,720,67,264,3,,,
2020/9/24,WT,19,1137,379,173,6,,,
2020/9/24,YGC,7,1137,294,64,2,,,
2020/9/24,YGX,33,1000,101,300,3,,,
2020/9/24,YL,51,1100,248,464,12,,,
2020/10/8,ANBU,34,550,242,309,15,,,
2020/10/8,FGJ,46,1137,276,419,11,,,
2020/10/8,LC,40,1137,299,364,11,,,
2020/10/8,LFG,61,300,140,555,29,,,
2020/10/8,MHH,11,1137,356,100,3,,,
2020/10/8,SH,5,1137,252,45,1,,,
2020/10/8,TXY,119,430,226,1083,63,,,
2020/10/8,WL,10,830,93,91,1,,,
2020/10/8,YGC,35,1137,251,318,8,,,
2020/10/8,YGX,13,1137,119,118,1,,,
2020/10/8,YL,30,1137,137,273,4,,,
2020/10/22,ANBU,90,1137,874,819,69,,,
2020/10/22,FGJ,168,1137,528,1529,78,,,
2020/10/22,LC,405,1137,660,3685,235,,,
2020/10/22,LFG,106,1137,257,965,24,,,
2020/10/22,MHH,53,1137,1072,482,50,,,
2020/10/22,QIGU,39,700,1253,355,70,,,
2020/10/22,SH,149,1137,216,1356,28,,,
2020/10/22,TXY,246,1137,446,2238,96,,,
2020/10/22,WL,5,100,66,45,3,,,
2020/10/22,WT,54,900,644,491,39,,,
2020/10/22,YGC,4,1137,649,36,2,,,
2020/10/22,YGX,47,1137,148,428,6,,,
2020/10/22,YL,184,1137,65,1674,11,,,
2020/11/5,ANBU,31,400,122,282,9,,,
2020/11/5,FGJ,37,1137,111,337,4,,,
2020/11/5,LFG,45,80,44,409,25,,,
2020/11/5,MHH,27,1137,189,246,4,,,
2020/11/5,QIGU,154,1137,230,1401,31,,,
2020/11/5,SH,34,1137,213,309,6,,,
2020/11/5,WL,32,1137,13,291,0,,,
2020/11/5,WT,27,810,254,246,8,,,
2020/11/5,YGC,21,400,113,191,6,,,
2020/11/5,YL,30,80,40,273,15,,,
2020/11/19,ANBU,6,100,246,55,15,,,
2020/11/19,JS,25,1137,247,227,5,,,
2020/11/19,LC,57,1137,193,519,10,,,
2020/11/19,LFG,17,200,74,155,6,,,
2020/11/19,QIGU,4,500,344,36,3,,,
2020/11/19,SH,22,150,221,200,32,,,
2020/11/19,TXY,8,850,131,73,1,,,
2020/11/19,WT,5,1137,230,45,1,,,
2020/11/19,YGC,3,1137,201,27,1,,,
2020/11/19,YGX,41,800,47,373,2,,,
2020/11/19,YL,24,1137,159,218,3,,,
2020/12/3,FGJ,44,1137,319,400,12,,,
2020/12/3,JS,3,200,94,27,1,,,
2020/12/3,LC,53,1137,379,482,18,,,
2020/12/3,LFG,8,1137,165,73,1,,,
2020/12/3,MHH,21,1137,624,191,12,,,
2020/12/3,QIGU,8,300,691,73,18,,,
2020/12/3,SH,22,1137,193,200,4,,,
2020/12/3,TXY,7,1137,263,64,2,,,
2020/12/3,WT,10,1137,380,91,3,,,
2020/12/3,YGC,5,1137,435,45,2,,,
2020/12/3,YGX,16,1137,81,146,1,,,
2020/12/3,YL,58,500,57,528,7,,,
2020/12/17,ANBU,3,250,700,27,8,,,
2020/12/17,FGJ,29,1137,674,264,17,,,
2020/12/17,JS,14,1137,416,127,5,,,
2020/12/17,LC,93,1137,823,846,67,,,
2020/12/17,LFG,9,100,255,82,23,,,
2020/12/17,MHH,27,1137,996,246,24,,,
2020/12/17,QIGU,29,1137,1218,264,31,,,
2020/12/17,SH,3,500,664,27,4,,,
2020/12/17,TXY,16,650,533,146,13,,,
2020/12/17,WL,12,250,83,109,4,,,
2020/12/17,WT,33,1137,1092,300,32,,,
2020/12/17,YGC,9,1137,644,82,5,,,
2020/12/17,YGX,23,1137,134,209,3,,,
2020/12/17,YL,8,1137,365,73,3,,,
2021/1/4,ANBU,1,1137,352,9,0,,,
2021/1/4,FGJ,10,1137,340,91,3,,,
2021/1/4,LC,22,1137,438,200,8,,,
2021/1/4,LFG,11,150,118,100,9,,,
2021/1/4,MHH,23,1137,485,209,10,,,
2021/1/4,QIGU,32,130,616,291,152,,,
2021/1/4,WL,25,200,44,227,5,,,
2021/1/4,WT,11,1137,688,100,7,,,
2021/1/4,YGC,6,800,303,55,2,,,
2021/1/4,YGX,18,1137,74,164,1,,,
2021/1/4,YL,38,1137,141,346,5,,,
2021/2/8,ANBU,6,850,60,55,0,,,
2021/2/8,LC,24,920,93,218,2,,,
2021/2/8,MHH,6,1137,73,55,0,,,
2021/2/8,TXY,16,520,45,146,1,,,
2021/2/8,WT,9,200,73,82,3,,,
2021/2/8,YGC,9,500,40,82,1,,,
2021/2/8,YL,63,100,8,573,5,,,
2021/2/22,FGJ,8,1137,214,73,2,,,
2021/2/22,LC,3,150,300,27,6,,,
2021/2/22,MHH,9,1137,255,82,2,,,
2021/2/22,SH,109,1137,150,992,14,,,
2021/2/22,TXY,37,1137,180,337,6,,,
2021/2/22,WL,7,1137,60,64,0,,,
2021/2/22,YGC,14,1137,192,127,2,,,
2021/2/22,YGX,18,1137,76,164,1,,,
2021/2/22,YL,13,1137,96,118,1,,,
